,date,revenue,earnings,actual,estimate,ticker,as_of_date
75,1Q2020,1384000000.0,286000000,0.45,-0.1,SYF,4/28/20
76,2Q2019,34591000000.0,1025000000,1.47,1.43,WBA,4/28/20
77,3Q2019,33954000000.0,677000000,1.43,1.41,WBA,4/28/20
78,4Q2019,34339000000.0,845000000,1.37,1.41,WBA,4/28/20
79,1Q2020,35820000000.0,946000000,1.52,1.46,WBA,4/28/20
80,1Q2019,5135510000.0,164409000,0.79,0.62,CBRE,4/28/20
81,2Q2019,5714073000.0,223731000,0.81,0.76,CBRE,4/28/20
82,3Q2019,5925101000.0,256599000,0.79,0.78,CBRE,4/28/20
83,4Q2019,7119407000.0,637618000,1.32,1.35,CBRE,4/28/20
84,1Q2019,3696000000.0,347000000,0.94,0.92,WM,4/28/20
85,2Q2019,3946000000.0,381000000,1.11,1.08,WM,4/28/20
86,3Q2019,3967000000.0,495000000,1.19,1.14,WM,4/28/20
87,4Q2019,3846000000.0,447000000,1.19,1.15,WM,4/28/20
88,1Q2019,818400000.0,-272600000,0.58,0.57,HOLX,4/28/20
89,2Q2019,852400000.0,93900000,0.63,0.61,HOLX,4/28/20
90,3Q2019,865900000.0,-123500000,0.65,0.65,HOLX,4/28/20
91,4Q2019,850500000.0,386100000,0.61,0.61,HOLX,4/28/20
92,2Q2019,1238000000.0,182000000,0.71,0.71,A,4/28/20
93,3Q2019,1274000000.0,191000000,0.76,0.72,A,4/28/20
94,4Q2019,1367000000.0,194000000,0.89,0.85,A,4/28/20
95,1Q2020,1357000000.0,197000000,0.81,0.81,A,4/28/20
96,1Q2019,1990600000.0,-12100000,0.13,0.12,COTY,4/28/20
97,2Q2019,2115400000.0,-2799400000,0.16,0.16,COTY,4/28/20
98,3Q2019,1942800000.0,52300000,0.07,0.06,COTY,4/28/20
99,4Q2019,2345000000.0,-21100000,0.27,0.24,COTY,4/28/20
100,1Q2019,2380000000.0,209000000,1.77,1.87,EMN,4/28/20
101,2Q2019,2363000000.0,258000000,1.99,2.09,EMN,4/28/20
102,3Q2019,2325000000.0,266000000,1.94,1.98,EMN,4/28/20
103,4Q2019,2205000000.0,26000000,1.42,1.33,EMN,4/28/20
104,1Q2019,5920000000.0,1710000000,1.1,1.09,BMY,4/28/20
105,2Q2019,6273000000.0,1432000000,1.18,1.06,BMY,4/28/20
106,3Q2019,6007000000.0,1353000000,1.17,1.07,BMY,4/28/20
107,4Q2019,7945000000.0,-1056000000,1.22,0.88,BMY,4/28/20
108,2Q2019,2353782000.0,219210000,1.8,1.8,TSCO,4/28/20
109,3Q2019,1984144000.0,122133000,1.02,1.03,TSCO,4/28/20
110,4Q2019,2191785000.0,144179000,1.21,1.23,TSCO,4/28/20
111,1Q2020,1959188000.0,83777000,0.71,0.7,TSCO,4/28/20
112,2Q2019,1793730000.0,226119000,2.07,1.93,CTAS,4/28/20
113,3Q2019,1811139000.0,250812000,2.32,2.15,CTAS,4/28/20
114,4Q2019,1843749000.0,246120000,2.27,2.03,CTAS,4/28/20
115,1Q2020,1810648000.0,234520000,2.16,2.02,CTAS,4/28/20
116,1Q2019,1403630000.0,118157000,0.83,0.7,NCLH,4/28/20
117,2Q2019,1664277000.0,240190000,1.3,1.26,NCLH,4/28/20
118,3Q2019,1913851000.0,450584000,2.23,2.16,NCLH,4/28/20
