,ticker,as_of_date,-1m,-2m,-3m,0m,52w_change,PE,current_earning_avg,current_earning_d,current_earning_high,current_earning_low,current_price,current_ratio,current_revenue_avg,current_revenue_high,current_revenue_low,earningQtr_growth,free_cf,fwd_pe,pegRatio,priceToBook,profit_margin,tgt_high_price,tgt_low_price,tgt_median_price,trailingEps,growthPotential
1376,FRC,2020-04-30,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.4090909090909091,0.027014136,20.293831484724656,1.17,2020-07-14,1.33,0.99,104.29,,906580000,924200000,897310000,-0.035,,19.826995999999998,10.4,1.9398098999999998,0.27497,120.0,68.0,103.0,5.139,-0.01236935468405409
1377,CMA,2020-04-30,0.08,0.08,0.2857142857142857,0.37037037037037035,-0.5206548,6.477146042363434,0.4,2020-07-15,1.05,-0.59,34.86,,711060000,741000000,688000000,,,9.603306,8.88,0.65480775,0.28799,49.0,27.8,34.0,5.382,-0.024670109007458363
1378,KO,2020-04-30,0.5909090909090909,0.6363636363636364,0.38461538461538464,0.44,-0.026245117,19.780172413793107,0.43,2020-07-21,0.51,0.34,45.89,0.872,7554410000,8397600000,6752000000,0.654,12034624512,21.748816,13.12,10.851265,0.26947,57.0,46.0,52.0,2.32,0.1331444759206799
1379,GOOG,2020-04-30,0.875,0.875,0.8571428571428571,1.0,0.1538521,27.206084079722423,,,,,1348.66,3.658,,,,0.027,21934499840,24.503270999999998,4.19,4.529368,0.20712,1712.76,1300.0,1550.0,49.572,0.14928892382068115
1380,ODFL,2020-04-30,0.2,0.2,0.4,0.3333333333333333,0.48560476,28.382496581363547,1.05,2020-07-23,1.53,0.91,145.29,1.94,893830000,950090000,836570000,-0.001,,25.760637,4.28,5.7349806,0.14987999,155.0,116.0,138.0,5.119,-0.05017551104687168
1381,MCO,2020-04-30,0.5,0.5,0.16666666666666666,0.23076923076923078,0.32271612,32.870619946091644,1.94,2020-07-29,2.2,1.5,243.9,1.9240000000000002,1158910000,1243400000,1001500000,0.434,1446000000,24.887754,3.69,74.79301,0.29447,275.0,205.0,233.0,7.42,-0.044690446904469106
1382,HRB,2020-04-30,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.3717708,8.169774288518155,2.62,2020-06-09,3.47,0.1,16.65,0.973,1749710000,1836200000,1632710000,,241299504,4.561643599999999,3.97,,0.12963,20.0,12.0,16.0,2.038,-0.039039039039038936
1383,BK,2020-04-30,0.2777777777777778,0.2631578947368421,0.38095238095238093,0.3,-0.23700583,8.106240552796372,0.87,2020-07-15,0.98,0.73,37.54,,3812150000,3852000000,3719460000,0.036,,10.064343,4.13,0.8839597,0.27065,54.0,38.0,43.0,4.631,0.14544485881726166
1384,BBY,2020-04-30,0.3448275862068966,0.3448275862068966,0.3076923076923077,0.28,0.06477785,13.344347826086958,0.6,2020-05-25,1.05,0.09,76.73,1.099,8351440000,9249040000,7711600000,0.014,1580125056,12.496742999999999,1.92,5.656886,0.03531,105.0,59.0,75.0,5.75,-0.02254659194578401
1385,AGN,2020-04-30,0.16666666666666666,0.15789473684210525,0.3,0.6190476190476191,0.3122357,-11.693402409337743,3.97,2020-05-05,4.24,3.61,187.34,1.005,3802520000,4012430000,3612000000,,7299862528,10.554366,3.68,1.0582088,-0.32762,203.0,157.0,189.0,-16.021,0.008860894630084326
1386,ADBE,2020-04-30,0.7241379310344828,0.6551724137931034,0.6551724137931034,0.8064516129032258,0.24864113,53.58993786937415,2.33,2020-06-11,2.43,2.0,353.64,1.235,3162900000,3220000000,2965420000,0.417,3581937920,31.659803000000004,1.88,16.321596,0.27719998,378.0,290.0,339.0,6.599,-0.04139803189684421
1387,GL,2020-04-30,0.375,0.375,0.0,0.0,-0.02411431,12.055636896046853,1.7,2020-07-22,1.78,1.62,82.34,,1155660000,1168480000,1148360000,-0.107,,11.248633,1.76,1.2211001,0.16203,100.0,72.0,83.0,6.83,0.008015545299975724
1388,INFO,2020-04-30,0.631578947368421,0.631578947368421,0.4444444444444444,0.42105263157894735,0.20739043,31.287773128777314,0.67,2020-06-24,0.74,0.54,67.3,0.696,1055990000,1114000000,1015800000,3.421,975237504,21.501598,2.14,3.20797,0.19735001,90.0,57.0,69.0,2.151,0.025260029717682153
1389,EXPD,2020-04-30,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.13333333333333333,-0.07325494,21.12241887905605,0.64,2020-05-05,0.73,0.58,71.605,2.371,1798750000,2007300000,1588700000,-0.234,592414528,19.890279999999997,4.7,5.533189299999999,0.07221,103.0,59.0,71.0,3.39,-0.00844913064730124
1390,ADSK,2020-04-30,0.68,0.68,0.782608695652174,0.8260869565217391,0.08387172,194.92708333333334,0.81,2020-05-21,0.86,0.64,187.13,0.826,879240000,900700000,819190000,1.037,908062528,32.319520000000004,0.55,,0.065510005,326.0,120.0,205.0,0.96,0.09549511035109282
1391,ABBV,2020-04-30,0.5714285714285714,0.6153846153846154,0.25,0.5,0.067414284,15.568181818181818,2.25,2020-05-01,2.31,2.01,82.2,3.177,8325450000,8697000000,8174000000,,8648500224,7.965116,1.78,,0.23694,105.0,70.0,97.0,5.28,0.18004866180048662
1392,FCX,2020-04-30,0.55,0.5714285714285714,0.22727272727272727,0.30434782608695654,-0.1954822,-16.69187145557656,-0.11,2020-07-22,0.07,-0.33,8.83,2.3409999999999997,2522870000,3066000000,1742140000,,-1283374976,9.494622999999999,-0.34,1.4480157,-0.056760002,19.0,8.6,11.5,-0.529,0.30237825594563983
1393,MLM,2020-04-30,0.5789473684210527,0.631578947368421,0.6923076923076923,0.7142857142857143,-0.11258638,19.530800821355236,0.49,2020-05-05,0.77,0.33,190.23,1.7009999999999998,881860000,1009000000,828970000,0.388,446237504,19.17641,2.32,2.2184255,0.13836999,285.0,167.0,228.0,9.74,0.19854912474373143
1394,ANTM,2020-04-30,0.8333333333333334,0.8333333333333334,0.5789473684210527,0.5789473684210527,0.0727092,15.199242014076884,6.62,2020-07-29,9.11,5.62,280.73,1.526,29117900000,29733000000,28511500000,-0.018,4679124992,11.126833999999999,0.84,2.2711313,0.04378,423.0,271.0,325.0,18.47,0.15769600683931162
1395,FFIV,2020-04-30,0.3157894736842105,0.3157894736842105,0.16666666666666666,0.18181818181818182,-0.06322217,24.823529411764703,2.03,2020-07-22,2.09,1.9,139.26,1.125,571390000,579990000,555010000,-0.471,532524000,14.356701000000001,4.65,4.2253776,0.14769,170.0,122.0,151.0,5.61,0.08430274307051566
1396,HBAN,2020-04-30,0.23809523809523808,0.14285714285714285,0.5384615384615384,0.5769230769230769,-0.30846483,9.390243902439025,0.07,2019-10-21,0.18,-0.3,9.24,,1116580000,1156000000,1088700000,-0.866,,9.829787,4.83,0.8869264000000001,0.27347,12.0,7.0,9.5,0.984,0.02813852813852802
1397,KMX,2020-04-30,0.8,0.75,0.5882352941176471,0.4117647058823529,0.009585857,13.818011257035648,0.02,2020-06-19,1.09,-1.31,73.65,2.387,2348520000,4175600000,594860000,0.116,428376992,14.84879,2.47,3.186932,0.04147,89.0,58.0,82.0,5.33,0.11337406653088933
1398,CF,2020-04-30,0.5,0.4,0.3888888888888889,0.35294117647058826,-0.3324896,12.331838565022421,0.25,2020-05-06,0.38,0.07,27.5,1.465,925830000,989000000,875000000,0.122,710875008,13.157895000000002,-4.65,2.0505555,0.10741,51.0,30.0,35.5,2.23,0.290909090909091
1399,GOOGL,2020-04-30,0.8717948717948718,0.8717948717948718,0.8947368421052632,0.8837209302325582,0.15059459,27.166545630597916,8.06,2020-07-23,10.32,3.95,1346.7,3.658,37128200000,40663000000,35065300000,0.027,21934499840,24.615244,6.79,4.522785,0.20712,1800.0,1270.0,1500.0,49.572,0.11383381599465348
1400,EXC,2020-04-30,0.7777777777777778,0.7368421052631579,0.7142857142857143,0.8235294117647058,-0.22943896,12.318936877076412,0.84,2020-05-08,0.88,0.8,37.08,0.8490000000000001,8800490000,9814520000,6784170000,4.252,-771124992,12.484849,-4.98,1.1196328000000002,0.08525,59.0,37.0,49.0,3.01,0.3214670981661274
1401,DRI,2020-04-30,0.4827586206896552,0.5,0.28,0.3333333333333333,-0.33613443,14.395239953179868,-1.93,2020-06-18,-1.0,-4.07,73.79,0.408,1142500000,1424100000,500000000,0.039,424049984,28.272032,-7.22,3.8081229,0.07251,100.0,51.0,75.0,5.126,0.016397885892397213
1402,ANSS,2020-04-30,0.42857142857142855,0.42857142857142855,0.13333333333333333,0.11764705882352941,0.38906884,49.87238095238095,0.8,2020-05-06,0.87,0.76,261.83,2.238,310830000,328220000,300000000,0.083,402015872,37.033943,5.98,6.500248,0.29771,305.0,185.0,255.0,5.25,-0.026085628079288048
1403,ALGN,2020-04-30,0.6875,0.7058823529411765,1.0,1.0,-0.32312506,9.06195959340335,0.25,2020-07-22,1.59,-0.96,214.85,1.7309999999999999,388480000,693280000,162600000,20.13,390072512,31.002888000000002,3.22,5.91857,0.78424,304.0,180.0,239.0,23.709,0.11240400279264606
1404,C,2020-04-30,0.8461538461538461,0.8518518518518519,0.8571428571428571,0.5862068965517241,-0.28567374,6.681342872867364,0.51,2020-07-14,1.43,-1.07,48.56,,17597200000,18846000000,15716000000,-0.465,,7.7696004,-1.61,0.5798763000000001,0.27015,96.0,39.4,56.0,7.268,0.15321252059308077
1405,EQR,2020-04-30,0.17391304347826086,0.13043478260869565,0.125,0.16,-0.13848168,25.051983057373896,0.33,2020-05-05,0.43,0.28,65.06,0.084,686110000,693180000,671000000,1.473,1208154624,43.08609000000001,7.94,2.3526432999999995,0.35924998,89.0,56.0,69.0,2.597,0.06055948355364271
1406,STT,2020-04-30,0.5,0.5789473684210527,0.38095238095238093,0.35,-0.030822456,10.83347654236123,1.41,2020-07-17,1.62,1.18,63.04,,2798330000,2886000000,2711000000,0.248,,10.982579,-2.6,1.0372344999999998,0.20063,83.0,58.0,64.0,5.819,0.015228426395939021
1407,IRM,2020-04-30,0.5555555555555556,0.5555555555555556,0.4,0.5,-0.20894104,26.0,0.18,2020-05-07,0.2,0.15,24.18,0.634,1080950000,1092160000,1067400000,-0.761,93357872,18.318182,2.63,4.744898,0.06273,41.0,18.0,34.5,0.93,0.42679900744416877
1408,CSX,2020-04-30,0.3076923076923077,0.3076923076923077,0.4,0.6666666666666666,-0.1363579,15.951348747591522,0.7,2020-07-14,0.8,0.37,66.23,1.7280000000000002,2396260000,2560000000,2259000000,-0.077,2588375040,15.997585999999998,3.55,4.270699,0.27736,76.0,50.0,68.0,4.152,0.026725049071417706
1409,INTU,2020-04-30,0.55,0.45454545454545453,0.3333333333333333,0.4090909090909091,0.11172998,43.65857605177994,5.48,2020-05-21,6.22,4.16,269.81,1.6740000000000002,3344840000,3612500000,2807900000,0.27,1729874944,32.664646000000005,5.65,18.859919,0.22885,325.0,180.0,280.0,6.18,0.037767317742114725
1410,ROP,2020-04-30,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.7692307692307693,-0.047256827,21.908647051265575,2.7,2020-07-23,3.02,2.59,341.03,0.961,1255170000,1292100000,1216000000,-0.35,1622962560,25.777023,5.08,3.7085006000000003,0.30175,410.0,295.0,380.5,15.566,0.11573761839134389
1411,HII,2020-04-30,0.46153846153846156,0.5,0.36363636363636365,0.3333333333333333,-0.05818045,14.435143288084465,4.52,2020-05-07,4.76,4.24,191.41,0.9440000000000001,2113240000,2165000000,2062000000,-0.297,-20875000,13.155327,-13.14,4.917783999999998,0.061690003,300.0,198.0,250.0,13.26,0.3060968601431482
1412,SWK,2020-04-30,0.6666666666666666,0.6190476190476191,0.5238095238095238,0.6521739130434783,-0.1859039,17.35433070866142,1.16,2020-07-21,2.03,0.22,110.2,1.012,2876690000,3527000000,2346790000,,1528600064,14.519103,2.39,2.2152536,0.06618,196.0,109.0,132.5,6.35,0.20235934664246824
1413,WRK,2020-04-30,0.5384615384615384,0.5384615384615384,0.75,0.6470588235294118,-0.11344755,9.69578313253012,0.61,2020-05-05,0.66,0.57,32.19,1.4369999999999998,4473400000,4610230000,4224000000,-0.004,1026550016,11.255244,-5.62,0.70340663,0.0469,59.0,27.0,42.0,3.32,0.3047530288909601
1414,COF,2020-04-30,0.6190476190476191,0.6190476190476191,0.5833333333333334,0.5416666666666666,-0.24935424,12.470633545156945,-0.28,2020-07-16,3.83,-10.92,64.76,,6862270000,7307000000,6438000000,,,7.887942,-7.16,0.57118666,0.14867,114.0,53.0,73.5,5.193,0.13495985176034586
1415,AVGO,2020-04-30,0.7575757575757576,0.6470588235294118,0.9714285714285714,0.9310344827586207,-0.1260212,44.93300248138958,5.14,2019-12-05,5.64,5.01,271.62,1.565,5694200000,5776000000,5556470000,-0.183,9846124544,11.441449,0.99,4.4474645,0.11639,372.0,220.0,300.0,6.045,0.10448420587585594
1416,MCD,2020-04-30,0.7142857142857143,0.7058823529411765,0.7666666666666667,0.696969696969697,-0.034890234,23.802030456852794,0.78,2020-07-24,1.56,-0.04,187.56,0.983,3466220000,4410900000,2073000000,0.111,4684599808,23.299377,5.91,,0.28588,235.0,170.0,200.0,7.88,0.06632544252505856
1417,LIN,2020-04-30,0.7142857142857143,0.6190476190476191,0.0,0.0,0.045431852,43.94315739192739,1.84,2020-05-07,1.92,1.65,183.99,0.851,6827430000,7190600000,6424000000,,6889750016,21.29514,2.04,2.0035279999999998,0.08095,254.22,181.0,210.0,4.187,0.14136637860753298
1418,JNPR,2020-04-30,0.22727272727272727,0.21739130434782608,0.3076923076923077,0.16,-0.17222822,22.291021671826627,0.35,2020-07-23,0.53,0.32,21.6,1.935,1063990000,1195500000,1017000000,-0.344,526512512,12.000001,-11.84,1.6273639,0.07526,30.0,17.0,24.0,0.969,0.11111111111111094
1419,TGT,2020-04-30,0.6296296296296297,0.6428571428571429,0.16,0.15384615384615385,0.46689355,17.246581801037244,0.68,2020-05-20,1.86,0.06,109.74,0.8909999999999999,18999300000,20164600000,18259000000,0.045,3363124992,15.858381,3.12,4.6759553,0.042,150.0,83.27,120.5,6.363,0.09804993621286684
1420,CPRT,2020-04-30,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.24378192,26.060507482108004,0.66,2020-05-20,0.77,0.52,80.11,2.135,568620000,625000000,486680000,0.284,-116578000,30.003744,1.51,8.809105,0.32946,110.0,76.0,85.5,3.074,0.06728248658095115
1421,EIX,2020-04-30,0.5714285714285714,0.5714285714285714,0.5294117647058824,0.5333333333333333,0.01122272,15.572944297082229,1.12,2020-07-23,1.5,0.9,58.71,0.645,2942900000,3098190000,2800000000,,-2578749952,12.680346,3.99,1.597551,0.10399,87.0,59.0,68.5,3.77,0.16675183103389535
1422,NOW,2020-04-30,0.7714285714285715,0.8055555555555556,0.8181818181818182,0.8823529411764706,0.22583461,104.7497020262217,1.0,2020-07-22,1.05,0.85,351.54,1.031,1050500000,1079700000,1035000000,,1219314688,65.34201,3.07,29.499037,0.18195,410.0,165.0,372.0,3.356,0.05820105820105814
1423,PNW,2020-04-30,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.07692307692307693,-0.15601158,16.140461215932916,0.15,2020-05-08,0.21,0.08,76.99,0.496,749630000,776800000,700790000,1.454,-212748752,15.007795999999999,3.21,1.5939958,0.15508,105.0,81.0,87.5,4.77,0.1365112352253539
1424,HPE,2020-04-30,0.3181818181818182,0.30434782608695654,0.4,0.28,-0.3449809,11.278026905829597,0.3,2020-05-21,0.41,0.15,10.06,0.787,6317000000,6907000000,5307000000,0.881,1517750016,6.1717796,1.43,0.7566755000000001,0.04223,17.0,7.0,13.0,0.892,0.29224652087475134
1425,VRTX,2020-04-30,0.8076923076923077,0.7916666666666666,0.8,0.8148148148148148,0.48077154,43.475250951886466,2.03,2020-07-29,2.35,1.51,251.2,3.843,1370270000,1500000000,1204000000,1.244,,22.961609,1.19,10.071769999999999,0.31350002,305.0,245.0,285.0,5.778,0.13455414012738864
1426,UPS,2020-04-30,0.5185185185185185,0.4444444444444444,0.25925925925925924,0.23076923076923078,-0.08909112,19.161943319838056,1.05,2020-07-22,1.41,0.62,94.66,1.224,17305400000,17926000000,16330000000,-0.131,6226124800,13.63977,3.07,24.599792,0.05728,125.0,60.0,105.0,4.94,0.10923304458060423
1427,NLSN,2020-04-30,0.5294117647058824,0.5882352941176471,0.5263157894736842,0.5263157894736842,-0.42903888,-12.589743589743591,0.36,2020-07-29,0.45,0.16,14.73,0.79,1607610000,1669000000,1478800000,,441000000,8.614035000000001,-6.3,2.3900697,-0.06386,28.0,5.5,18.0,-1.17,0.22199592668024426
1428,FDX,2020-04-30,0.5,0.5,0.8148148148148148,0.75,-0.30774164,-94.6044776119403,2.24,2020-06-23,3.15,0.73,126.77,1.215,16638000000,17457000000,14622700000,-0.574,-2939124992,12.626493,-8.39,1.7587401999999999,-0.00501,360.0,80.0,137.5,-1.34,0.08464147669006872
1429,BAX,2020-04-30,0.7777777777777778,0.7058823529411765,0.35294117647058826,0.375,0.19923973,46.0,0.77,2020-07-23,0.9,0.63,88.78,2.323,2833860000,2954000000,2665000000,,1029374976,22.705881,2.36,5.7012587,0.0881,104.0,84.0,95.5,1.93,0.07569272358639334
1430,PVH,2020-04-30,0.6,0.65,0.8125,0.7647058823529411,-0.5780211,8.791071428571428,-1.21,2020-05-27,1.04,-3.34,49.23,1.4380000000000002,1428400000,1825000000,797000000,,372024992,7.436555999999999,-4.38,0.6124048000000001,0.04211,107.0,26.0,50.0,5.6,0.015640869388584333
1431,TMO,2020-04-30,0.7647058823529411,0.7777777777777778,0.9285714285714286,0.9333333333333333,0.20111966,36.689322516991886,2.46,2020-07-22,2.95,1.89,334.68,2.316,5717330000,6030000000,5357000000,-0.033,3211624960,23.38784,2.73,4.6524043,0.14306,390.0,260.0,367.5,9.122,0.09806382215847975
1432,V,2020-04-30,0.9444444444444444,0.9444444444444444,0.8611111111111112,0.8974358974358975,0.12828946,32.63100237356217,1.16,2020-07-21,1.56,0.93,178.72,1.27,5125780000,6380500000,4228000000,0.099,9647375360,28.641027,2.58,12.894661,0.52604,234.0,170.0,194.5,5.477,0.08829453894359895
1433,UNM,2020-04-30,0.08333333333333333,0.08333333333333333,0.21428571428571427,0.23076923076923078,-0.5061593,3.330152671755725,1.38,2020-05-04,1.42,1.31,17.45,7.657,3047900000,3074650000,3019920000,0.189,658374976,2.9829060000000003,0.58,0.35536823,0.0917,44.0,16.0,18.0,5.24,0.03151862464183375
1434,TDG,2020-04-30,0.6666666666666666,0.7333333333333333,0.6470588235294118,0.6666666666666666,-0.22443008,28.286070426924272,4.36,2020-05-05,4.97,3.39,363.08,1.986,1454130000,1550000000,1311040000,0.551,2525892608,23.379265,3.06,,0.17518999,600.0,270.0,354.0,12.836,-0.025008262641841972
1435,DRE,2020-04-30,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.3333333333333333,0.13928115,31.66058394160584,0.13,2020-07-29,0.14,0.12,34.7,3.2039999999999997,218920000,222010000,214040000,-0.563,,63.090908,11.57,2.715605,0.42696998,42.0,31.5,37.0,1.096,0.06628242074927937
1436,ULTA,2020-04-30,0.5517241379310345,0.5517241379310345,0.7307692307692307,0.48,-0.34194595,17.9358024691358,0.85,2020-05-28,3.13,-0.97,217.92,1.807,1272170000,1829000000,984120000,0.037,612404736,18.705579999999998,10.57,6.485521,0.095419995,280.0,190.0,237.5,12.15,0.0898494860499266
1437,PAYC,2020-04-30,0.5,0.5,0.6923076923076923,0.6875,0.34014988,77.66141029455518,0.71,2020-07-28,0.92,0.53,261.02,1.103,188910000,208830000,171800000,0.333,143139632,57.747783999999996,3.69,25.076373999999998,0.25165,265.0,175.0,225.0,3.361,-0.13799708834572055
1438,FTI,2020-04-30,0.7352941176470589,0.7647058823529411,0.71875,0.5882352941176471,-0.6046908,-0.6998664676773231,0.11,2020-07-22,0.25,-0.05,8.91,1.141,3224800000,3787830000,2619000000,,-1370637440,13.707692000000002,2.28,0.9829013000000001,-0.41772997,32.0,4.5,11.5,-12.731,0.29068462401795725
1439,KSS,2020-04-30,0.10526315789473684,0.10526315789473684,0.17391304347826086,0.3333333333333333,-0.71414316,4.224256292906179,-1.76,2020-05-19,-0.59,-3.4,18.46,1.679,2155890000,2515000000,1910500000,-0.026,593124992,6.3219175000000005,7.72,0.5271876,0.034590002,45.0,16.0,20.0,4.37,0.08342361863488623
1440,O,2020-04-30,0.4444444444444444,0.4444444444444444,0.25,0.21052631578947367,-0.21301442,39.79710144927537,0.45,2020-05-04,0.86,0.36,54.92,0.8109999999999999,409110000,417710000,391930000,0.52,722029888,29.847824,5.58,1.8745306000000002,0.29263002,75.0,49.0,64.0,1.38,0.16533139111434814
1441,STX,2020-04-30,0.2962962962962963,0.27586206896551724,0.19230769230769232,0.1111111111111111,0.0070564747,7.361827560795874,1.29,2020-07-31,1.39,1.24,49.95,1.493,2620110000,2722810000,2585000000,0.641,820625024,9.832678,1.08,7.1633444000000015,0.17572,70.0,36.0,55.0,6.785,0.10110110110110093
1442,HSIC,2020-04-30,0.2777777777777778,0.23529411764705882,0.23529411764705882,0.5625,-0.092719436,11.733333333333333,0.75,2020-05-05,0.89,0.46,54.56,1.5830000000000002,2330940000,2507370000,2003000000,1.481,1158038784,14.826087,2.68,2.608779,0.06957,102.0,52.0,59.0,4.65,0.08137829912023453
1443,CMS,2020-04-30,0.4117647058823529,0.35294117647058826,0.3888888888888889,0.42857142857142855,0.049102187,22.918506623845847,0.36,2020-07-23,0.42,0.3,57.09,0.958,1491420000,1570240000,1448880000,0.141,-455000000,20.102114,2.98,3.1511838,0.10677,73.0,59.0,62.5,2.491,0.09476265545629703
1444,AKAM,2020-04-30,0.631578947368421,0.6,0.4230769230769231,0.4230769230769231,0.2192601,32.57,1.21,2020-07-28,1.27,1.18,97.71,3.196,767500000,784240000,756160000,0.149,336557504,18.263552,1.76,4.310482,0.16739,130.0,94.0,114.0,3.0,0.16671783850168875
1445,PKI,2020-04-30,0.3333333333333333,0.3125,0.35714285714285715,0.35714285714285715,-0.04384482,44.421000981354275,0.55,2020-05-05,0.7,0.24,90.53,1.8019999999999998,652710000,703000000,540000000,-0.095,227113120,19.940529,2.35,3.5757167,0.07891,110.0,80.0,86.5,2.038,-0.04451563017784166
1446,YUM,2020-04-30,0.2692307692307692,0.25925925925925924,0.4166666666666667,0.48,-0.14035779,24.061804008908688,0.48,2020-07-30,0.73,0.2,86.43,1.327,1115630000,1297000000,875000000,-0.683,1019374976,23.109625,6.74,,0.19889,110.0,66.0,87.5,3.592,0.012379960661807132
1447,HES,2020-04-30,0.52,0.44,0.48,0.42857142857142855,-0.2086227,-35.503649635036496,-0.64,2020-05-07,-0.44,-0.86,48.64,1.2570000000000001,1398870000,1609000000,942360000,,-153500000,-14.650602,0.8,1.6986797999999999,-0.06465,75.0,35.0,45.5,-1.37,-0.06455592105263164
1448,AEP,2020-04-30,0.7222222222222222,0.6111111111111112,0.47368421052631576,0.35294117647058826,-0.018536031,21.420103092783506,1.11,2020-05-06,1.23,0.97,83.11,0.396,4222650000,4478000000,4098480000,-0.578,-1825774976,17.911638,3.28,2.0919755,0.12345,115.0,76.0,96.5,3.88,0.1611117795692456
1449,CVS,2020-04-30,0.6666666666666666,0.6666666666666666,0.625,0.625,0.1036489,12.116141732283463,1.63,2020-04-30,1.78,1.54,61.55,0.9440000000000001,64058900000,66326000000,62234000000,,10174374912,8.16313,1.5,1.2548164,0.025940001,109.0,62.0,79.0,5.08,0.2835093419983754
1450,SLG,2020-04-30,0.5,0.5,0.5263157894736842,0.47368421052631576,-0.37148458,13.137691926696382,0.21,2020-07-15,0.35,0.06,53.05,4.94,208910000,218000000,189500000,1.412,,49.12037,-3.82,0.80534977,0.29027998,105.0,44.0,58.0,4.038,0.09330819981149863
1451,MKTX,2020-04-30,0.08333333333333333,0.0,0.6,0.6,0.6143296,76.20331602746609,1.84,2020-07-29,2.21,1.6,455.01,6.166,164940000,182480000,148610000,0.424,,61.571045,4.08,21.273085000000002,0.40874,505.0,383.0,418.0,5.971,-0.08133887167315001
1452,CCI,2020-04-30,0.4666666666666667,0.4375,0.65,0.6190476190476191,0.25324523,90.07344632768361,0.51,2020-07-29,0.53,0.45,159.43,0.467,1458890000,1489650000,1426000000,-0.119,420000000,58.399265,3.45,6.5530844,0.14751,180.0,145.0,170.5,1.77,0.06943486169478774
1453,JBHT,2020-04-30,0.13636363636363635,0.13636363636363635,0.5238095238095238,0.5909090909090909,0.11864948,21.685610122238902,0.82,2020-07-13,1.02,0.51,101.12,1.537,1999480000,2181000000,1871200000,-0.123,,18.588236,4.37,4.672396,0.05361,117.0,87.0,104.0,4.663,0.028481012658227778
1454,AEE,2020-04-30,0.7692307692307693,0.7142857142857143,0.3,0.2222222222222222,0.031517863,21.71641791044776,0.71,2020-05-11,0.78,0.67,72.75,0.5710000000000001,1612040000,1728410000,1550900000,0.382,-504000000,19.297082999999997,3.28,2.2224597999999998,0.14665,92.0,76.0,85.5,3.35,0.17525773195876293
1455,CDW,2020-04-30,0.5,0.5,0.75,0.7142857142857143,0.033141494,22.20440881763527,1.34,2020-05-06,1.41,1.16,110.8,1.2409999999999999,4258280000,4392520000,3806000000,0.165,747875008,17.046154,2.1,16.500372,0.04086,130.0,80.0,126.0,4.99,0.13718411552346566
1456,PH,2020-04-30,0.45454545454545453,0.45454545454545453,0.47619047619047616,0.65,-0.10915494,15.037565382786495,1.31,2020-04-30,2.43,0.27,158.12,1.3840000000000001,2989410000,3689500000,2412090000,-0.344,1334361856,17.886877,3.61,3.2063267000000004,0.09635,200.0,85.0,170.0,10.515,0.07513281052365284
1457,EBAY,2020-04-30,0.29411764705882354,0.2727272727272727,0.3888888888888889,0.42105263157894735,0.038308024,6.958420684835779,0.77,2020-07-15,0.82,0.68,39.83,1.337,2475140000,2686990000,2302970000,5.587,3312875008,11.889553,1.92,14.179424,0.43490002,52.0,23.5,41.0,5.724,0.02937484308310334
1458,REG,2020-04-30,0.5789473684210527,0.5789473684210527,0.5882352941176471,0.5,-0.3367682,30.727781665500345,0.36,2020-05-07,0.4,0.26,43.91,1.569,281610000,290000000,275730000,-0.489,516580640,30.075342,3.71,1.1811067,0.20558001,71.0,32.5,46.0,1.429,0.04759735823274891
1459,AMCR,2020-04-30,0.25,0.3333333333333333,0.0,0.0,-0.16000003,28.658146964856233,0.16,2020-05-11,0.17,0.15,8.97,1.244,3220050000,3285000000,3165690000,0.339,280124992,13.388060000000001,7.23,2.692885,0.04008,11.6,7.0,9.25,0.313,0.03121516164994409
1460,CDNS,2020-04-30,0.5,0.5384615384615384,0.3333333333333333,0.3333333333333333,0.18070555,22.90513833992095,0.53,2020-07-20,0.62,0.5,81.13,1.382,595330000,615440000,588000000,0.028,571683904,30.15985,2.67,10.495472,0.41741002,91.0,63.0,87.5,3.542,0.07851596203623812
1461,VRSK,2020-04-30,0.47058823529411764,0.47058823529411764,0.47368421052631576,0.45,0.09063053,56.60370370370371,1.13,2020-05-05,1.18,1.09,152.83,0.499,684950000,696500000,651000000,-0.096,838687488,28.781546000000002,3.44,11.029879,0.17257,181.0,138.0,162.5,2.7,0.06327291762088594
1462,GRMN,2020-04-30,0.2222222222222222,0.0,0.13333333333333333,0.13333333333333333,0.052691698,15.954393552191862,0.85,2020-07-29,1.28,0.07,81.16,3.7460000000000004,822450000,1051360000,571240000,0.15,531892128,18.487473,3.15,3.1418397000000002,0.25302,104.0,80.0,85.0,5.087,0.04731394775751596
1463,ESS,2020-04-30,0.43478260869565216,0.43478260869565216,0.2692307692307692,0.3076923076923077,-0.119550586,36.65165165165165,1.46,2020-05-06,1.54,1.31,244.1,0.373,379440000,389770000,371350000,0.093,706838720,42.526134000000006,5.83,2.5935528,0.27813998,342.0,203.0,266.0,6.66,0.08971732896353957
